Date,TransitAgency,Location,Type,Amount
"7/4/2026 3:53:00 PM","Toronto Transit Commission","Bathurst St At King St West","Fare Payment","$-2.10"
"7/5/2026 5:04:40 PM","GTAFS Central System","","Epurse Load","$10.00"
"7/5/2026 5:09:01 PM","Toronto Transit Commission","King St West At Atlantic Ave","Fare Payment","$-2.10"
"7/7/2026 6:09:19 AM","GO Transit","Weston GO Station Rail","Fare Payment","$-3.70"
"7/7/2026 6:37:16 AM","GO Transit","Union Station Rail","Fare Payment","$-1.06"
"7/7/2026 6:40:01 PM","Toronto Transit Commission","WELLESLEY STATION","Fare Payment","$-2.10"
"7/8/2026 5:05:17 AM","GTAFS Central System","","Epurse Load","$9.37"
"7/8/2026 5:51:55 AM","Union Pearson Express","Weston Station","Fare Payment","$-5.02"
"7/8/2026 6:14:34 AM","Toronto Transit Commission","Union Station - Northbound Platform Tow","Fare Payment","$-2.10"
"7/8/2026 6:39:49 PM","Toronto Transit Commission","WELLESLEY STATION","Fare Payment","$-2.10"
"7/9/2026 5:12:10 AM","GTAFS Central System","","Epurse Load","$10.00"
"7/9/2026 5:52:06 AM","Union Pearson Express","Weston Station","Fare Payment","$-5.02"
"7/9/2026 6:15:32 AM","Toronto Transit Commission","Union Station - Northbound Platform Tow","Fare Payment","$-2.10"
"7/9/2026 6:48:50 PM","Toronto Transit Commission","WELLESLEY STATION","Fare Payment","$-2.10"
"7/10/2026 5:15:17 AM","GTAFS Central System","","Epurse Load","$7.91"
"7/10/2026 5:51:02 AM","Union Pearson Express","Weston Station","Fare Payment","$-5.02"
"7/10/2026 6:14:46 AM","Toronto Transit Commission","Union Station - Northbound Platform Tow","Fare Payment","$-2.10"
"7/10/2026 6:01:38 PM","GTAFS Central System","","Epurse Load","$10.00"
"7/10/2026 6:21:23 PM","Toronto Transit Commission","Union Station - Northbound Platform Tow","Fare Payment","$-2.10"
"7/11/2026 8:48:47 AM","Union Pearson Express","Weston Station","Fare Payment","$-5.02"
"7/14/2026 5:58:56 AM","GTAFS Central System","","Epurse Load","$10.00"
"7/14/2026 6:00:06 AM","Union Pearson Express","Weston Station","Fare Payment","$-5.02"
"7/14/2026 6:27:44 AM","Toronto Transit Commission","Union Station - Northbound Platform Tow","Fare Payment","$-2.10"
"7/14/2026 7:06:56 PM","Toronto Transit Commission","MUSEUM STATION","Fare Payment","$-2.10"
"7/15/2026 6:09:30 AM","GO Transit","Weston GO Station Rail","Fare Payment","$-3.70"
"7/15/2026 6:35:32 AM","GO Transit","Union Station Rail","Fare Payment","$-1.06"
"7/15/2026 6:59:49 PM","GTAFS Central System","","Epurse Load","$10.00"
"7/15/2026 6:59:59 PM","Toronto Transit Commission","MUSEUM STATION","Fare Payment","$-2.10"
"7/16/2026 6:03:23 AM","Union Pearson Express","Weston Station","Fare Payment","$-5.02"
"7/16/2026 6:28:58 AM","Toronto Transit Commission","Union Station - Northbound Platform Tow","Fare Payment","$-2.10"
"7/16/2026 5:36:20 PM","Toronto Transit Commission","MUSEUM STATION","Fare Payment","$-2.10"
"7/22/2026 2:32:21 PM","GTAFS Central System","","Epurse Load","$10.00"
"7/22/2026 3:06:17 PM","GO Transit","Weston GO Station Rail","Fare Payment","$-3.70"
"7/22/2026 3:37:26 PM","GO Transit","Union Station Rail","Fare Payment","$-1.06"
"7/22/2026 6:43:26 PM","Toronto Transit Commission","EGLINTON STATION","Fare Payment","$-2.10"
"7/29/2026 6:01:21 AM","GO Transit","Exhibition GO Station Rail","Epurse Load","$5.00"
"7/30/2026 10:27:29 AM","Toronto Transit Commission","King St West At Atlantic Ave","Fare Payment","$-3.30"
"7/30/2026 10:49:49 AM","GTAFS Central System","","Epurse Load","$4.00"
"7/30/2026 5:05:25 PM","Union Pearson Express","Weston Station","Fare Payment","$-5.02"
"7/30/2026 7:28:26 PM","Toronto Transit Commission","King St West At Atlantic Ave","Fare Payment","$-2.10"
"7/31/2026 1:29:20 AM","Toronto Transit Commission","King St West At Shaw St","Fare Payment","$-2.10"
"7/31/2026 5:58:51 AM","GTAFS Central System","","Epurse Load","$10.00"
"7/31/2026 5:59:25 AM","Toronto Transit Commission","DUNDAS WEST STATION","Fare Payment","$-2.10"
"8/3/2026 3:55:54 PM","Toronto Transit Commission","MOUNT DENNIS","Fare Payment","$-2.10"
"8/4/2026 2:52:41 PM","Toronto Transit Commission","MOUNT DENNIS","Fare Payment","$-2.10"
"8/4/2026 7:39:41 PM","Toronto Transit Commission","EGLINTON STATION","Fare Payment","$-2.10"
"8/5/2026 11:23:24 AM","GTAFS Central System","","Epurse Load","$10.00"
"8/5/2026 11:23:59 AM","Toronto Transit Commission","MOUNT DENNIS","Fare Payment","$-2.10"
"8/5/2026 5:04:58 PM","Toronto Transit Commission","QUEEN STATION","Fare Payment","$-2.10"
"8/5/2026 7:38:14 PM","Toronto Transit Commission","ST CLAIR WEST STATION","Fare Payment","$-2.10"
"8/6/2026 2:09:11 PM","Toronto Transit Commission","LAIRD","Fare Payment","$-2.10"
